### **Weeks 1–2: Foundation & Setup (Rewritten Table)**

| Task ID | Task Description                                                                                                              | Lead          | Effort (Days) | Status |
|         | - Create `app.db` migrations for: `company_status`, `notes`, `tags`, `snoozes`, `suppression`, `saved_views`, `audit_events`. |               |               |        |
|         | - Document local dev DB setup + seed data strategy (optional).                                                                |               |               |        |
| **1.6** | **Implement Authentication (Frontend + API Guard)**                                                                           | Full Stack    |             3 | To Do  |
|         | - Add login/logout + protected routes in Next.js.                                                                             |               |               |        |
|         | - Add API auth middleware (JWT/session validation).                                                                           |               |               |        |
|         | - Add basic roles: “member” (Phase 1), admin later.                                                                           |               |               |        |
| **1.7** | **Build Basic UI Shell**                                                                                                      | Frontend Lead |             2 | To Do  |
|         | - Layout: sidebar + header + global search bar stub.                                                                          |               |               |        |
|         | - Global loading/error states + empty state patterns.                                                                         |               |               |        |
| **1.8** | **CI + Dev Workflow Baseline**                                                                                                | Full Team     |             2 | To Do  |
|         | - Frontend: typecheck + lint. Backend: unit tests + lint.                                                                     |               |               |        |
|         | - Add minimal PR checks + release checklist doc.                                                                              |               |               |        |

**Deliverable (end of Week 2):** authenticated app shell + FastAPI running + stable `/api/v1` contract + DB access patterns.

---

### **Weeks 3–4: Company List & Detail Page (Rewritten Table)**

| Task ID | Task Description                                                              | Lead          | Effort (Days) | Status |
| ------- | ----------------------------------------------------------------------------- | ------------- | ------------: | ------ |
| **2.1** | **Company Read API Endpoints (Signals DB)**                                   | Backend Lead  |             3 | To Do  |
|         | - `GET /api/v1/companies`: pagination, search (`q`), sort, filters.           |               |               |        |
|         | - `GET /api/v1/companies/{id}`: detail payload for header + overview.         |               |               |        |
|         | - `GET /api/v1/companies/{id}/signals`: ordered timeline + optional filters.  |               |               |        |
|         | - `GET /api/v1/system/ingestion-status` (or last run timestamp).              |               |               |        |
| **2.2** | **Company Workflow API (App DB: Notes/Triage/Saved Views)**                   | Backend Lead  |             3 | To Do  |
|         | - `PUT /api/v1/companies/{id}/status` (New/Reviewing/Watch/Pass/etc.).        |               |               |        |
|         | - `POST/GET /api/v1/companies/{id}/notes` + `DELETE` if needed.               |               |               |        |
|         | - `POST/GET /api/v1/companies/{id}/tags` (add/remove).                        |               |               |        |
|         | - `POST /api/v1/companies/{id}/snooze` + `POST /suppress`.                    |               |               |        |
|         | - `GET/POST /api/v1/views` for saved filters (MVP).                           |               |               |        |
| **2.3** | **Build Company List View (Core Directory + Triage UX)**                      | Frontend Lead |             4 | To Do  |
|         | - Searchable/sortable/filterable table (status/tags/freshness).               |               |               |        |
|         | - Row-level quick actions: set status, add tag, open detail.                  |               |               |        |
|         | - Saved views dropdown (MVP: “My Views”).                                     |               |               |        |
| **2.4** | **Build Company Detail Page Skeleton**                                        | Frontend Lead |             2 | To Do  |
|         | - Header: name/desc/links, status, tags, last-seen signal, key scores.        |               |               |        |
|         | - Tabs: Overview / Signals / Founders (placeholder) / Activity.               |               |               |        |
| **2.5** | **Populate Signal Timeline UI**                                               | Full Stack    |             3 | To Do  |
|         | - Timeline component with grouping + filters (type/date).                     |               |               |        |
|         | - Deep link support (copy URL to company + tab).                              |               |               |        |
| **2.6** | **Triage & Notes UX (Make it Replace Streamlit)**                             | Full Stack    |             2 | To Do  |
|         | - Inline notes editor + status control in header.                             |               |               |        |
|         | - Snooze/suppress actions surfaced with confirmation + undo (optional).       |               |               |        |
| **2.7** | **Audit Trail (“Who changed what”)**                                          | Backend Lead  |             2 | To Do  |
|         | - Record `audit_events` for status/notes/tags/suppress/snooze.                |               |               |        |
|         | - `GET /api/v1/companies/{id}/activity` + Activity tab UI.                    |               |               |        |
| **2.8** | **Performance & Indexing Pass**                                               | Backend Lead  |             2 | To Do  |
|         | - Identify slow queries + add safe indexes (where possible) / query rewrites. |               |               |        |
|         | - Add basic pagination defaults + max limits to prevent abuse.                |               |               |        |

**Deliverable (end of Week 4):** company directory + company detail page + signals timeline + real triage workflow (status/notes/tags/snooze/suppress) + audit trail.

---

### **Weeks 5–6: Founder & Network Intelligence (Rewritten Table)**

| Task ID | Task Description                                                                              | Lead          | Effort (Days) | Status |
| ------- | --------------------------------------------------------------------------------------------- | ------------- | ------------: | ------ |
| **3.1** | **Founder API Endpoints (Read)**                                                              | Backend Lead  |             3 | To Do  |
|         | - `GET /api/v1/companies/{id}/founders`: founders for company.                                |               |               |        |
|         | - `GET /api/v1/founders/{id}`: normalized founder profile payload.                            |               |               |        |
| **3.2** | **Network Intelligence API (Scoped MVP)**                                                     | Backend Lead  |             3 | To Do  |
|         | - `GET /api/v1/network?founder_id={id}` (MVP): mutuals + shared entities + connection “path”. |               |               |        |
|         | - Return structure: `mutuals[]`, `shared_employers[]`, `shared_schools[]`, `path[]`.          |               |               |        |
|         | - Guardrail: if low-confidence matching, return “insufficient data” cleanly.                  |               |               |        |
| **3.3** | **Build Founder Profile Components**                                                          | Frontend Lead |             3 | To Do  |
|         | - Founder cards on Company Detail page: name/title/bio + experience list.                     |               |               |        |
|         | - Optional: founder “flags” section (missing LinkedIn, incomplete data).                      |               |               |        |
| **3.4** | **Build Network Intelligence UI (MVP, Non-Graph)**                                            | Frontend Lead |             2 | To Do  |
|         | - Show “You’re connected via X” + top mutuals + shared employers/schools.                     |               |               |        |
|         | - Keep visualization simple (no full graph in Phase 1).                                       |               |               |        |
| **3.5** | **Testing, Polish, Accessibility**                                                            | Full Team     |             3 | To Do  |
|         | - E2E smoke tests: login → list → detail → notes/status → founders → network.                 |               |               |        |
|         | - Responsive checks + basic a11y + empty states.                                              |               |               |        |
| **3.6** | **Deployment (Staging → Prod) + Release Runbook**                                             | Full Team     |             2 | To Do  |
|         | - Deploy both services with env vars + secrets handling.                                      |               |               |        |
|         | - Add rollback steps + “how to verify production is healthy” checklist.                       |               |               |        |

**Deliverable (end of Week 6):** production MVP with founder enrichment + scoped network intelligence + hardening + deployment/runbook.
